name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
同济大礼堂,11,125465023,,,townhall,,,"POLYGON ((121.4953588 31.2870904, 121.4955349 31.2874129, 121.4961486 31.2871681, 121.4959724 31.2868456, 121.4953588 31.2870904))",POINT (121.4957537 31.2871293),2542.5,27367
,12,140957512,,,,pitch,,"POLYGON ((121.4990678 31.2835368, 121.4998102 31.2832404, 121.499683 31.2830076, 121.4989406 31.283304, 121.4990678 31.2835368))",POINT (121.4993754 31.2832722),2220.9,23905.9
,13,176687546,,,,,platform,"POLYGON ((121.5025051 31.2850123, 121.5027694 31.284929, 121.5033519 31.2847454, 121.5025051 31.2850123))",POINT (121.5028755 31.2848956),0,0.1
129运动场,14,176687553,,,,pitch,,"POLYGON ((121.4992484 31.2827984, 121.4988621 31.2820191, 121.4986985 31.2816958, 121.498787 31.2816546, 121.4987951 31.2816202, 121.4988138 31.2815721, 121.498838 31.2815262, 121.4988889 31.2814689, 121.4989399 31.2814345, 121.4991089 31.2813658, 121.4991733 31.2813474, 121.4992349 31.2813405, 121.4993691 31.2813451, 121.499471 31.2813726, 121.4995783 31.2814208, 121.4996426 31.2814804, 121.4998518 31.2818838, 121.5000959 31.2824019, 121.5000959 31.2824592, 121.5000879 31.282544, 121.5000664 31.2826059, 121.5000155 31.2826976, 121.4999511 31.2827732, 121.4998787 31.2828122, 121.4998223 31.2828351, 121.4997312 31.2828626, 121.4996051 31.2828718, 121.4994924 31.2828511, 121.4993878 31.2828213, 121.4992832 31.282858, 121.4992484 31.2827984))",POINT (121.4994284 31.2821074),14719.8,158442.8
,15,179222576,,,,park,,"POLYGON ((121.4991234 31.2869765, 121.4979575 31.2875191, 121.4980042 31.28759, 121.4983188 31.2880679, 121.4987761 31.2878655, 121.4989781 31.2875764, 121.4991943 31.2874173, 121.4992906 31.287281, 121.4991234 31.2869765))",POINT (121.4986343 31.2875201),7436.7,80048
同济大学中德学部,16,181555241,,college,,,,"POLYGON ((121.4955202 31.2834221, 121.4959601 31.2830829, 121.4960449 31.2832113, 121.4960262 31.2832309, 121.4960769 31.2833075, 121.4961 31.2832884, 121.4961748 31.2833924, 121.4955824 31.2836192, 121.495545 31.2835541, 121.4956994 31.2834761, 121.4956812 31.2834382, 121.4953905 31.2836319, 121.4953485 31.2835399, 121.4955202 31.2834221))",POINT (121.4957945 31.2833852),1925.4,20724.7
,17,181555246,,yes,,,,"POLYGON ((121.4986955 31.2882392, 121.4986378 31.2881157, 121.4990932 31.2879604, 121.4991509 31.2880839, 121.4986955 31.2882392))",POINT (121.4988944 31.2880998),687.8,7403.4
综合楼,18,181555253,,yes,,,,"POLYGON ((121.5021771 31.286628, 121.5019805 31.2862314, 121.5021655 31.2861644, 121.5024471 31.2860625, 121.5026437 31.2864591, 121.5021771 31.286628))",POINT (121.5023121 31.2863452),2302.4,24783.3
三好坞餐厅,19,181555254,,yes,restaurant,,,"POLYGON ((121.4993096 31.287622, 121.4992545 31.2875214, 121.4997079 31.2873638, 121.4998221 31.2875844, 121.4996328 31.2876559, 121.499592 31.2875769, 121.4997184 31.2875291, 121.4996872 31.2874689, 121.4993096 31.287622))",POINT (121.4995649 31.2875134),747.5,8045.6
同济大学人文学院,20,183383457,,college,,,,"POLYGON ((121.4952601 31.2830312, 121.4957913 31.2828092, 121.4958559 31.2828859, 121.4954996 31.2831206, 121.4954939 31.2831796, 121.4954548 31.2832238, 121.4953858 31.2832447, 121.4953153 31.2832276, 121.4952762 31.283191, 121.4952658 31.2831156, 121.4952601 31.2830312))",POINT (121.4955102 31.2830285),1109.2,11939.3
,21,183383458,,yes,,,,"POLYGON ((121.4969114 31.2871577, 121.4967821 31.2869306, 121.4971981 31.2867576, 121.4973273 31.2869847, 121.4971757 31.2870478, 121.4972143 31.2871156, 121.4973971 31.2870396, 121.4975008 31.2872217, 121.4970537 31.2874076, 121.49695 31.2872255, 121.497137 31.2871478, 121.4970984 31.2870799, 121.4969114 31.2871577))",POINT (121.4971344 31.2870813),2362.9,25434
,22,183383459,,yes,,,,"POLYGON ((121.4952343 31.2879218, 121.4952523 31.2877714, 121.4957016 31.2878106, 121.4957279 31.2875908, 121.4961387 31.2876266, 121.4961634 31.2874199, 121.4967938 31.2874749, 121.4967751 31.2876315, 121.4963283 31.2875926, 121.4963037 31.2877993, 121.495885 31.2877628, 121.4958595 31.2879763, 121.4952343 31.2879218))",POINT (121.4960193 31.2876961),3263.7,35129.6
红楼（B楼）,23,183383460,,college,,,,"POLYGON ((121.5000795 31.2876141, 121.4999704 31.2874083, 121.5000459 31.2873791, 121.5000007 31.2872939, 121.5003934 31.2871419, 121.5004426 31.2872347, 121.5004938 31.2872148, 121.5004681 31.2871665, 121.5006278 31.2871047, 121.5006576 31.287161, 121.5008958 31.2870689, 121.5009967 31.2872592, 121.5000795 31.2876141))",POINT (121.5004417 31.2873216),2856.2,30743.8
西南一楼,24,183383461,,dormitory,,,,"POLYGON ((121.4950368 31.2864948, 121.4942647 31.2851721, 121.4947821 31.2849515, 121.4948528 31.2850727, 121.4944808 31.2852313, 121.4946219 31.2854732, 121.4947519 31.2856959, 121.495124 31.2855372, 121.4952063 31.2856782, 121.4948342 31.2858368, 121.4949695 31.2860685, 121.4950975 31.2862878, 121.4954695 31.2861292, 121.4955542 31.2862742, 121.4950368 31.2864948))",POINT (121.4948449 31.2857667),4528.2,48741
文远楼（A楼）,25,183383462,,college,,,,"POLYGON ((121.4995028 31.2872319, 121.4994449 31.2871183, 121.4995792 31.2870683, 121.4995309 31.2869736, 121.499395 31.2870242, 121.4993383 31.2869128, 121.4997238 31.2867693, 121.499774 31.2868678, 121.4996083 31.2869294, 121.4996567 31.2870243, 121.5000858 31.2868645, 121.5000594 31.2868127, 121.5001597 31.2867754, 121.5001899 31.2868346, 121.5003717 31.286767, 121.5004323 31.2868859, 121.4995028 31.2872319))",POINT (121.4998353 31.2869668),2099.3,22596.6
,26,183383463,,yes,,,,"POLYGON ((121.5016292 31.2855285, 121.501566 31.2854087, 121.5017012 31.2853567, 121.5016031 31.2851706, 121.5014724 31.2852209, 121.5014128 31.2851077, 121.501961 31.2848966, 121.5020227 31.2850136, 121.5017146 31.2851322, 121.5017398 31.28518, 121.5020148 31.2850741, 121.502065 31.2851694, 121.5017902 31.2852753, 121.5018135 31.2853196, 121.5021243 31.2852, 121.5021847 31.2853146, 121.5016292 31.2855285))",POINT (121.5018025 31.2852112),2217.8,23872
同济大学中法中心,27,183383464,,yes,,,,"POLYGON ((121.5008903 31.2834203, 121.5008091 31.2832663, 121.5009132 31.283225, 121.5008091 31.2830384, 121.5006008 31.2830427, 121.5006085 31.2831165, 121.5004053 31.2831947, 121.5003799 31.2830601, 121.5005069 31.2830124, 121.5004967 31.2829256, 121.5006796 31.2829147, 121.500611 31.2826912, 121.5004256 31.2827541, 121.5004637 31.2827975, 121.5002403 31.2828561, 121.5001615 31.2827693, 121.5002758 31.2826934, 121.5002682 31.2826283, 121.5007177 31.2825501, 121.5008218 31.2829039, 121.5008979 31.2829039, 121.5011239 31.2833335, 121.5008903 31.2834203))",POINT (121.500671 31.2829413),2830,30462.2
,28,183383465,,yes,,,,"POLYGON ((121.4975793 31.2882532, 121.4974967 31.2881182, 121.4979552 31.2879134, 121.4980378 31.2880484, 121.4975793 31.2882532))",POINT (121.4977673 31.2880833),831.4,8948.8
,29,183383466,,yes,,,,"POLYGON ((121.5006586 31.283692, 121.5005778 31.2835289, 121.500792 31.2834514, 121.5008727 31.2836145, 121.5006586 31.283692))",POINT (121.5007253 31.2835717),434.5,4676.6
,30,183383467,,yes,,,,"POLYGON ((121.4971975 31.2876805, 121.4971149 31.2875455, 121.4975733 31.2873407, 121.4976559 31.2874757, 121.4971975 31.2876805))",POINT (121.4973854 31.2875106),831.2,8947.4
,31,183383468,,yes,,pitch,,"POLYGON ((121.4988275 31.2841703, 121.4986744 31.2838812, 121.4989796 31.2837631, 121.4991327 31.2840522, 121.4988275 31.2841703))",POINT (121.4989036 31.2839667),1121.5,12071.9
,32,183383469,,yes,,,,"POLYGON ((121.49933 31.283485, 121.4993884 31.2835945, 121.4989823 31.2837527, 121.4989239 31.2836432, 121.49933 31.283485))",POINT (121.4991561 31.2836188),566.6,6098.4
,33,183383470,,yes,,,,"POLYGON ((121.4973663 31.2879659, 121.4972837 31.2878309, 121.4977421 31.2876261, 121.4978247 31.2877611, 121.4973663 31.2879659))",POINT (121.4975542 31.287796),831.2,8947.3
城规学院C楼,34,183383471,,college,,,,"POLYGON ((121.5010866 31.2872494, 121.5009759 31.2870313, 121.5015323 31.2868252, 121.501643 31.2870433, 121.5010866 31.2872494))",POINT (121.5013094 31.2870373),1520.8,16369.3
教学南楼,35,183383472,,college,,,,"POLYGON ((121.4988654 31.284906, 121.4987816 31.284749, 121.5004598 31.2840948, 121.5005436 31.2842518, 121.4996991 31.2845795, 121.4988654 31.284906))",POINT (121.4996624 31.2845001),3344.4,35998.5
西南二楼,36,183383473,,residential,,,,"POLYGON ((121.4954749 31.284635, 121.4953995 31.2844908, 121.4964475 31.2840906, 121.4965229 31.2842349, 121.4954749 31.284635))",POINT (121.4959613 31.2843628),1913,20591.4
教学北楼,37,183383474,,college,,,,"POLYGON ((121.4995971 31.2863207, 121.4995133 31.2861637, 121.5003782 31.2858251, 121.5011915 31.2855096, 121.5012753 31.2856666, 121.4995971 31.2863207))",POINT (121.5003942 31.2859148),3370.8,36283.5
城规学院D楼,38,183383475,,college,,,,"POLYGON ((121.5006415 31.286976, 121.5005685 31.2868399, 121.5013698 31.2865263, 121.5014428 31.2866624, 121.5006415 31.286976))",POINT (121.5010056 31.2867511),1391.9,14982.3
教育超市,39,183383476,,yes,,,,"POLYGON ((121.4954348 31.2851724, 121.4953793 31.2850823, 121.4953271 31.2849975, 121.4954654 31.2849352, 121.4955731 31.2851102, 121.4954348 31.2851724))",POINT (121.4954501 31.2850538),326,3508.8
