name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,441145438,,,,,104.1444745,30.6446252,POINT (104.1444745 30.6446252)
,1,529971456,,,,,104.1372788,30.6305082,POINT (104.1372788 30.6305082)
,2,529971458,,,,,104.1367984,30.6294729,POINT (104.1367984 30.6294729)
,3,1816803045,,,,,104.1412895,30.6347971,POINT (104.1412895 30.6347971)
,4,1826474794,,,,,104.1404465,30.6329453,POINT (104.1404465 30.6329453)
,5,1826474800,,,,,104.1368255,30.6260393,POINT (104.1368255 30.6260393)
,6,1826474846,,,,,104.1338114,30.6220254,POINT (104.1338114 30.6220254)
,7,1826474880,,,,,104.144833,30.6437376,POINT (104.144833 30.6437376)
,8,1826474885,,,,,104.1379695,30.6277291,POINT (104.1379695 30.6277291)
,9,4934383592,,,,,104.1318102,30.6198856,POINT (104.1318102 30.6198856)
,10,4934383593,,,,,104.1332261,30.622181,POINT (104.1332261 30.622181)
,11,4944828216,,,,,104.1405454,30.6365196,POINT (104.1405454 30.6365196)
,12,4944828217,,,,,104.1406817,30.6367609,POINT (104.1406817 30.6367609)
,13,4944828218,,,,,104.1407569,30.6368979,POINT (104.1407569 30.6368979)
,14,4944828220,,,,,104.141161,30.6376079,POINT (104.141161 30.6376079)
,15,4944828721,,,,,104.1407826,30.6368379,POINT (104.1407826 30.6368379)
,16,4944828722,,,,,104.1411057,30.6375077,POINT (104.1411057 30.6375077)
,17,4944828723,,,,,104.1408125,30.6367896,POINT (104.1408125 30.6367896)
,18,4944828724,,,,,104.1412112,30.6375877,POINT (104.1412112 30.6375877)
,19,4944828725,,,,,104.1408687,30.6367723,POINT (104.1408687 30.6367723)
,20,4944828726,,,,,104.1412631,30.6375733,POINT (104.1412631 30.6375733)
,21,4944828727,,,,,104.1404489,30.6363493,POINT (104.1404489 30.6363493)
,22,4944828728,,,,,104.1400772,30.6357298,POINT (104.1400772 30.6357298)
,23,4944828729,,,,,104.140317,30.6361112,POINT (104.140317 30.6361112)
,24,4944828730,,,,,104.1406961,30.6366623,POINT (104.1406961 30.6366623)
,25,4944828731,,,,,104.1406181,30.6364995,POINT (104.1406181 30.6364995)
,26,4944828732,,,,,104.1405193,30.6363179,POINT (104.1405193 30.6363179)
,27,4944828733,,,,,104.1404569,30.6361738,POINT (104.1404569 30.6361738)
,28,4944828734,,,,,104.1401189,30.6355988,POINT (104.1401189 30.6355988)
,29,4944828735,,,,,104.1406976,30.6365457,POINT (104.1406976 30.6365457)
,30,4944828737,,,,,104.1405574,30.6362696,POINT (104.1405574 30.6362696)
,31,4944828738,,,,,104.1403869,30.6359548,POINT (104.1403869 30.6359548)
,32,4944828739,,,,,104.140189,30.6355934,POINT (104.140189 30.6355934)
,33,4944828741,,,,,104.1406509,30.6363267,POINT (104.1406509 30.6363267)
,34,4944828742,,,,,104.140298,30.6355586,POINT (104.140298 30.6355586)
,35,4944828743,,,,,104.1402466,30.635576,POINT (104.1402466 30.635576)
,36,4944828745,,,,,104.1405114,30.6354916,POINT (104.1405114 30.6354916)
,37,4944828746,,,,,104.1411345,30.6370155,POINT (104.1411345 30.6370155)
,38,4944828747,,,,,104.1412031,30.637179,POINT (104.1412031 30.637179)
,39,4944828748,,,,,104.1412841,30.6373626,POINT (104.1412841 30.6373626)
,40,4944828749,,,,,104.1413806,30.6375784,POINT (104.1413806 30.6375784)
,41,4944828750,,,,,104.1404616,30.6355103,POINT (104.1404616 30.6355103)
,42,4944828751,,,,,104.1410675,30.63699,POINT (104.1410675 30.63699)
,43,4944828752,,,,,104.1411485,30.6371816,POINT (104.1411485 30.6371816)
,44,4944828753,,,,,104.141228,30.6373612,POINT (104.141228 30.6373612)
,45,4944828754,,,,,104.1413292,30.6375864,POINT (104.1413292 30.6375864)
,46,4944828755,,,,,104.1403868,30.6355009,POINT (104.1403868 30.6355009)
,47,4944828756,,,,,104.1405036,30.635761,POINT (104.1405036 30.635761)
,48,4944828757,,,,,104.1405691,30.6359097,POINT (104.1405691 30.6359097)
,49,4944828758,,,,,104.1406547,30.6361148,POINT (104.1406547 30.6361148)
,50,4944828759,,,,,104.1409336,30.6367769,POINT (104.1409336 30.6367769)
,51,4944828760,,,,,104.141118,30.637264,POINT (104.141118 30.637264)
,52,4944828761,,,,,104.1407389,30.6361875,POINT (104.1407389 30.6361875)
,53,4944828762,,,,,104.1400099,30.6342518,POINT (104.1400099 30.6342518)
,54,4944828763,,,,,104.1399242,30.6340414,POINT (104.1399242 30.6340414)
,55,4944828764,,,,,104.1398394,30.6338567,POINT (104.1398394 30.6338567)
,56,4944828765,,,,,104.1397535,30.6336835,POINT (104.1397535 30.6336835)
,57,4944828767,,,,,104.1396019,30.6333561,POINT (104.1396019 30.6333561)
,58,4944828768,,,,,104.1402669,30.6350305,POINT (104.1402669 30.6350305)
,59,4944828769,,,,,104.1402014,30.634871,POINT (104.1402014 30.634871)
,60,4944828770,,,,,104.1401329,30.6347115,POINT (104.1401329 30.6347115)
,61,4944828771,,,,,104.1400613,30.6345534,POINT (104.1400613 30.6345534)
,62,4944828772,,,,,104.1399849,30.6343925,POINT (104.1399849 30.6343925)
,63,4944828773,,,,,104.1399055,30.6342397,POINT (104.1399055 30.6342397)
,64,4944828774,,,,,104.1398245,30.634095,POINT (104.1398245 30.634095)
,65,4944828775,,,,,104.139622,30.6337317,POINT (104.139622 30.6337317)
,66,4944828776,,,,,104.139569,30.6336272,POINT (104.139569 30.6336272)
,67,4944828777,,,,,104.1395129,30.6335066,POINT (104.1395129 30.6335066)
,68,4944828778,,,,,104.1394288,30.6333243,POINT (104.1394288 30.6333243)
,69,4944828779,,,,,104.1402132,30.6347545,POINT (104.1402132 30.6347545)
,70,4944828780,,,,,104.1404008,30.6353606,POINT (104.1404008 30.6353606)
,71,4944828781,,,,,104.140298,30.6353093,POINT (104.140298 30.6353093)
,72,4944828782,,,,,104.1401905,30.6350814,POINT (104.1401905 30.6350814)
,73,4944828783,,,,,104.1400846,30.6348563,POINT (104.1400846 30.6348563)
,74,4944828784,,,,,104.1393743,30.633343,POINT (104.1393743 30.633343)
,75,4944828785,,,,,104.1401127,30.6351659,POINT (104.1401127 30.6351659)
,76,4944828786,,,,,104.1400317,30.6349903,POINT (104.1400317 30.6349903)
,77,4944828787,,,,,104.1399335,30.6347933,POINT (104.1399335 30.6347933)
,78,4944828788,,,,,104.1398416,30.634623,POINT (104.1398416 30.634623)
,79,4944828789,,,,,104.1391975,30.633394,POINT (104.1391975 30.633394)
,80,4944828790,,,,,104.1397201,30.6345936,POINT (104.1397201 30.6345936)
,81,4944828791,,,,,104.1396469,30.6344528,POINT (104.1396469 30.6344528)
,82,4944828792,,,,,104.1395799,30.6343188,POINT (104.1395799 30.6343188)
,83,4944828793,,,,,104.139502,30.634158,POINT (104.139502 30.634158)
,84,4944828794,,,,,104.1393174,30.6337719,POINT (104.1393174 30.6337719)
,85,4944828796,,,,,104.1391454,30.6334241,POINT (104.1391454 30.6334241)
,86,4944828797,,,,,104.1397808,30.6353157,POINT (104.1397808 30.6353157)
,87,4944828798,,,,,104.1396017,30.6345869,POINT (104.1396017 30.6345869)
,88,4944828799,,,,,104.1395036,30.634422,POINT (104.1395036 30.634422)
,89,4944828800,,,,,104.1394226,30.6342746,POINT (104.1394226 30.6342746)
,90,4944828801,,,,,104.139326,30.634095,POINT (104.139326 30.634095)
,91,4944828802,,,,,104.1392357,30.6339167,POINT (104.1392357 30.6339167)
,92,4944828803,,,,,104.1391609,30.6337652,POINT (104.1391609 30.6337652)
,93,4944828804,,,,,104.139016,30.6334664,POINT (104.139016 30.6334664)
,94,4944828805,,,,,104.139851,30.6349032,POINT (104.139851 30.6349032)
,95,4944828806,,,,,104.1399429,30.6350948,POINT (104.1399429 30.6350948)
,96,4944828807,,,,,104.1400208,30.635253,POINT (104.1400208 30.635253)
,97,4944828808,,,,,104.1401587,30.6355415,POINT (104.1401587 30.6355415)
,98,4944828809,,,,,104.1395918,30.6350523,POINT (104.1395918 30.6350523)
,99,4944828810,,,,,104.1394345,30.6348117,POINT (104.1394345 30.6348117)
,100,4944828811,,,,,104.1392911,30.634583,POINT (104.1392911 30.634583)
,101,4944828812,,,,,104.1391433,30.6343261,POINT (104.1391433 30.6343261)
,102,4944828813,,,,,104.1390069,30.6340744,POINT (104.1390069 30.6340744)
,103,4944828814,,,,,104.1388869,30.6338542,POINT (104.1388869 30.6338542)
,104,4944828815,,,,,104.138752,30.6335793,POINT (104.138752 30.6335793)
,105,4944828816,,,,,104.1395098,30.6345507,POINT (104.1395098 30.6345507)
,106,4944828817,,,,,104.1394226,30.6343965,POINT (104.1394226 30.6343965)
,107,4944828818,,,,,104.1393276,30.6342263,POINT (104.1393276 30.6342263)
,108,4944828819,,,,,104.1392294,30.6340414,POINT (104.1392294 30.6340414)
