name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
64,11,24808074,,dormitory,,,,"POLYGON ((-71.0880203 42.3600717, -71.08797680000001 42.3599996, -71.0878326 42.3600476, -71.0878482 42.3600782, -71.0883027 42.36082, -71.08844360000001 42.3607731, -71.0883975 42.3606985, -71.08832990000001 42.3605876, -71.0882399 42.3604384, -71.0881772 42.3603341, -71.08808670000001 42.3601817, -71.0880203 42.3600717))",POINT (-71.08813600000001 42.3604073),1214.7,13074.9
Ralph Landau Building,12,24808162,,university,,,,"POLYGON ((-71.08948289999999 42.3608309, -71.0894734 42.3608154, -71.08946539999999 42.3608023, -71.089443 42.3608094, -71.0892884 42.3608584, -71.0892369 42.3607731, -71.0892448 42.3607235, -71.0892332 42.3607053, -71.0890964 42.3607514, -71.088556 42.3609333, -71.0883736 42.3609947, -71.08861949999999 42.3610112, -71.08933690000001 42.3610647, -71.08939549999999 42.3610467, -71.0894086 42.3610689, -71.0894579 42.3610717, -71.0893413 42.3608758, -71.0894651 42.3608365, -71.08948289999999 42.3608309))",POINT (-71.08902639999999 42.360924),1743.7,18769.1
MacGregor House,13,25679659,,dormitory,,,,"POLYGON ((-71.0990901 42.3554041, -71.0990774 42.3554357, -71.09909330000001 42.3554598, -71.0990769 42.3554666, -71.0991076 42.3555167, -71.0990999 42.3555292, -71.0991136 42.3555504, -71.0991302 42.3555535, -71.09921559999999 42.3556914, -71.0992318 42.3556859, -71.09924359999999 42.355705, -71.09925459999999 42.3557013, -71.099332 42.355826, -71.0994611 42.3557823, -71.0996186 42.355729, -71.09970250000001 42.3557006, -71.09960599999999 42.3555448, -71.0994233 42.3556066, -71.0993333 42.3556371, -71.0992834 42.3555566, -71.0992876 42.3555456, -71.0992739 42.3555252, -71.0992593 42.3555211, -71.0992308 42.3554745, -71.0994149 42.355413, -71.09943060000001 42.3554177, -71.0994592 42.3554087, -71.0994661 42.3553959, -71.0997134 42.3553133, -71.09981879999999 42.3554858, -71.099783 42.3554977, -71.09978820000001 42.3555061, -71.0997808 42.3555184, -71.09979420000001 42.355541, -71.09981260000001 42.3555446, -71.09981430000001 42.3555474, -71.0999807 42.3554919, -71.0998403 42.3552621, -71.09982189999999 42.3552683, -71.0997988 42.3552304, -71.09975799999999 42.35522, -71.0997424 42.3552251, -71.0997236 42.3551936, -71.09971969999999 42.3551949, -71.0997007 42.3551907, -71.099664 42.3552023, -71.0996572 42.3552142, -71.09935179999999 42.3553174, -71.0993343 42.3553138, -71.0993034 42.3553238, -71.0992966 42.3553343, -71.0990901 42.3554041))",POINT (-71.09949210000001 42.3554958),1976.9,21278.6
NW86 Sidney Pacific,14,25679668,,dormitory,,,,"POLYGON ((-71.1015058 42.3594038, -71.1013513 42.3595433, -71.10204659999999 42.3599175, -71.1019865 42.3599619, -71.10250980000001 42.3602591, -71.1031452 42.3597019, -71.1028877 42.359537, -71.10281500000001 42.3596006, -71.1028384 42.3596189, -71.1027163 42.3597148, -71.1026842 42.3596961, -71.10254329999999 42.3598078, -71.1025734 42.3598271, -71.10244419999999 42.3599309, -71.10251510000001 42.3599739, -71.102456 42.3600261, -71.1022688 42.3599233, -71.10229560000001 42.359895, -71.1021337 42.3598073, -71.1021157 42.3598253, -71.1020066 42.3597631, -71.1021513 42.3596311, -71.1021822 42.3596485, -71.1023114 42.3595307, -71.1022809 42.3595174, -71.10239989999999 42.3594065, -71.10242719999999 42.3594209, -71.1024566 42.3593936, -71.1024901 42.3593618, -71.10227829999999 42.3592262, -71.1018921 42.3596258, -71.1015058 42.3594038))",POINT (-71.1023019 42.3597548),5065.9,54528.4
Ray & Maria Stata Center (32),15,27078002,,university,,,,"POLYGON ((-71.0907248 42.3619158, -71.0907011 42.362025, -71.0906191 42.3620169, -71.090665 42.3620504, -71.0906148 42.3620643, -71.09061370000001 42.3620937, -71.0905672 42.3620896, -71.09054570000001 42.3621169, -71.0904915 42.3621253, -71.090452 42.3620852, -71.0903828 42.3621278, -71.0903148 42.3620689, -71.09027020000001 42.3621025, -71.0900882 42.3619895, -71.0900824 42.3619954, -71.0901089 42.3620112, -71.0901247 42.3620303, -71.0900769 42.3620674, -71.0900692 42.3620649, -71.0900692 42.3620717, -71.090031 42.3620947, -71.08998269999999 42.3620864, -71.08997840000001 42.3620705, -71.08996449999999 42.3620849, -71.08993270000001 42.3620867, -71.08992929999999 42.3620834, -71.08990609999999 42.3620614, -71.0899524 42.3620162, -71.0899028 42.3619862, -71.0899191 42.3619692, -71.0899007 42.3619583, -71.08990799999999 42.361951, -71.0899491 42.3619097, -71.0898416 42.3617264, -71.0898394 42.3617227, -71.0898858 42.3617211, -71.0898882 42.3616888, -71.0898905 42.361657, -71.08987 42.3616559, -71.08987999999999 42.361539, -71.0898954 42.3615441, -71.08991640000001 42.3615473, -71.08994010000001 42.3615447, -71.08995520000001 42.3615385, -71.0899699 42.3615253, -71.0899735 42.3615099, -71.089973 42.3614945, -71.0899678 42.3614869, -71.0899636 42.3614807, -71.08994800000001 42.3614701, -71.089929 42.3614634, -71.08990439999999 42.3614647, -71.0898858 42.3614713, -71.0898955 42.3613576, -71.08993479999999 42.361357, -71.089929 42.3613549, -71.0904128 42.3611977, -71.09039679999999 42.3611707, -71.0904986 42.3611376, -71.0904865 42.3611893, -71.09053350000001 42.361194, -71.0905284 42.3612223, -71.090554 42.3612245, -71.0905698 42.3612258, -71.0905618 42.361148, -71.090627 42.3611438, -71.090611 42.3610058, -71.0907739 42.3609528, -71.0907854 42.3609723, -71.0907989 42.3609952, -71.09067589999999 42.3610362, -71.0906888 42.3611776, -71.0907296 42.3611749, -71.0908261 42.361171, -71.0908295 42.3612324, -71.09108569999999 42.3612442, -71.0911356 42.3612478, -71.0911203 42.3613791, -71.0911747 42.3613838, -71.0911742 42.3613916, -71.09121140000001 42.361395, -71.0911979 42.3614884, -71.09120590000001 42.3614898, -71.0912041 42.3615043, -71.0912445 42.3614916, -71.09125899999999 42.3615165, -71.09132099999999 42.3614982, -71.0913424 42.3614915, -71.09136119999999 42.3615225, -71.0913765 42.3615478, -71.0914348 42.361644, -71.09147299999999 42.3616941, -71.0914775 42.3617195, -71.09145669999999 42.361715, -71.09144190000001 42.3617088, -71.09143109999999 42.3617043, -71.09142370000001 42.3617065, -71.091444 42.3617326, -71.0913676 42.3617708, -71.09133509999999 42.3617324, -71.09133319999999 42.3617395, -71.0913534 42.3617875, -71.0912697 42.3617972, -71.09125160000001 42.361757, -71.0910836 42.3618437, -71.09106939999999 42.3618293, -71.0910494 42.3618411, -71.0910447 42.3618728, -71.09103399999999 42.3618934, -71.0910191 42.3619086, -71.09099139999999 42.3619182, -71.0909645 42.3619189, -71.09093970000001 42.3619147, -71.0909146 42.3619023, -71.0908965 42.361889, -71.0908878 42.3619119, -71.0908694 42.3619346, -71.09084129999999 42.3619561, -71.090816 42.3619695, -71.0907819 42.3619801, -71.0907437 42.3619871, -71.09073739999999 42.361943, -71.0907248 42.3619158))",POINT (-71.09056579999999 42.3616206),9799.7,105482.9
Briggs Field,16,27365759,,,,park,,"POLYGON ((-71.0975219 42.3572349, -71.09837090000001 42.3569611, -71.098153 42.3566106, -71.0980259 42.3564024, -71.1017531 42.3551465, -71.10177090000001 42.3551779, -71.1024589 42.3563147, -71.0992054 42.3579259, -71.0989338 42.3577176, -71.0987411 42.3574932, -71.0987901 42.3574731, -71.09872369999999 42.3573935, -71.0986736 42.3574127, -71.09838739999999 42.3573248, -71.0982729 42.3573504, -71.0977137 42.3575399, -71.0975219 42.3572349))",POINT (-71.1001242 42.3565333),59387.0,639235.4
Next House,17,27366069,,dormitory,,,,"POLYGON ((-71.1015598 42.3550497, -71.10152720000001 42.3549968, -71.1015082 42.355004, -71.101508 42.3549539, -71.10146829999999 42.3549388, -71.10148940000001 42.3549332, -71.1014764 42.3549108, -71.1013421 42.3548074, -71.1013143 42.354788, -71.10127369999999 42.3548015, -71.1012813 42.354814, -71.1012825 42.3548238, -71.1012709 42.3548319, -71.1012571 42.3548331, -71.1012467 42.3548248, -71.1012406 42.3548124, -71.1011833 42.3548326, -71.1011749 42.3548172, -71.10116170000001 42.3548215, -71.1011469 42.3547963, -71.10115949999999 42.3547926, -71.10112909999999 42.3547449, -71.1011268 42.3547413, -71.10116530000001 42.3547281, -71.1011602 42.3547183, -71.10119280000001 42.3547079, -71.1011981 42.3547168, -71.1013013 42.3546815, -71.10129550000001 42.3546726, -71.1013292 42.3546611, -71.1013347 42.35467, -71.10136439999999 42.3546591, -71.10136749999999 42.3546643, -71.1013954 42.3547111, -71.101422 42.3547319, -71.1014323 42.3547237, -71.10145850000001 42.3547433, -71.10144750000001 42.3547509, -71.1015246 42.3548111, -71.10153529999999 42.3548035, -71.1015608 42.3548236, -71.1015522 42.3548291, -71.1015993 42.3548663, -71.1016321 42.3548551, -71.101626 42.3548461, -71.10165790000001 42.3548346, -71.10166510000001 42.3548449, -71.1017329 42.3548218, -71.10172350000001 42.354807, -71.1017497 42.3547984, -71.1017909 42.3547845, -71.1017995 42.3548007, -71.1018705 42.3547758, -71.1018653 42.3547675, -71.10189939999999 42.3547564, -71.1019041 42.354765, -71.1019336 42.3547545, -71.10193200000001 42.3547031, -71.101916 42.3547029, -71.1019161 42.3546748, -71.1019194 42.3546748, -71.1019191 42.3546416, -71.1019208 42.3545929, -71.10190729999999 42.3545935, -71.1019053 42.3545652, -71.1019194 42.3545648, -71.10191450000001 42.3545367, -71.1018823 42.354488, -71.1019154 42.3544772, -71.1019089 42.3544671, -71.10194300000001 42.3544565, -71.1019484 42.3544664, -71.10201549999999 42.3544446, -71.1020068 42.35443, -71.10207370000001 42.3544075, -71.1020827 42.3544227, -71.1021492 42.354401, -71.1021447 42.3543909, -71.1021793 42.3543796, -71.10218399999999 42.3543897, -71.1022157 42.3543794, -71.10224719999999 42.354433, -71.10227020000001 42.3544505, -71.1022818 42.3544446, -71.10230610000001 42.3544644, -71.1022968 42.3544716, -71.1023742 42.3545319, -71.1023835 42.3545239, -71.102408 42.3545435, -71.10239850000001 42.3545509, -71.10244899999999 42.3545904, -71.1024767 42.354581, -71.102498 42.3546195, -71.1024725 42.3546275, -71.10253609999999 42.3547265, -71.1025099 42.354734, -71.1025185 42.3547493, -71.102448 42.3547718, -71.1024396 42.3547564, -71.1024129 42.3547638, -71.1023483 42.3546613, -71.1022498 42.3546939, -71.1022554 42.3547046, -71.10221230000001 42.3547187, -71.1021763 42.3547306, -71.1021705 42.3547202, -71.1020853 42.3547485, -71.1020949 42.3547653, -71.1021353 42.3547522, -71.1021508 42.3547534, -71.1021609 42.3547623, -71.1021623 42.3547737, -71.1021531 42.3547829, -71.10211320000001 42.3547977, -71.1021454 42.3548526, -71.1021203 42.3548606, -71.1021294 42.3548761, -71.1020577 42.3549008, -71.1020481 42.3548861, -71.10202200000001 42.3548958, -71.10198939999999 42.3548409, -71.1018548 42.3548871, -71.10186400000001 42.3549025, -71.1017951 42.3549261, -71.1017854 42.3549107, -71.1016544 42.3549553, -71.1016841 42.3550095, -71.1016595 42.3550172, -71.10166820000001 42.3550313, -71.1015956 42.3550559, -71.10158680000001 42.3550408, -71.1015598 42.3550497))",POINT (-71.101922 42.354706),2652.8,28554.7
Jack Barry Field,18,27397811,,,,pitch,,"POLYGON ((-71.09759579999999 42.3575427, -71.09725299999999 42.3569781, -71.0972356 42.3569495, -71.0972 42.3569614, -71.095916 42.357391, -71.0962566 42.3579448, -71.0963304 42.3579657, -71.09652629999999 42.357901, -71.0965728 42.3578857, -71.0965861 42.3578512, -71.0972745 42.3576201, -71.0973201 42.3576311, -71.09759579999999 42.3575427))",POINT (-71.0967527 42.3574591),8388.6,90294.4
Tang Hall,19,29127301,,dormitory,,,,"POLYGON ((-71.1034525 42.3544721, -71.1033831 42.3544582, -71.10330759999999 42.3543306, -71.1033317 42.3542757, -71.1035043 42.35422, -71.1035782 42.3542386, -71.10365419999999 42.3543672, -71.1036261 42.3544161, -71.1034525 42.3544721))",POINT (-71.1034793 42.3543463),549.7,5916.6
Westgate,20,29127324,,dormitory,,,,"POLYGON ((-71.1040874 42.3551763, -71.1038396 42.3547607, -71.10371689999999 42.3548007, -71.1037238 42.3548123, -71.10396470000001 42.3552162, -71.1040495 42.3551886, -71.1040874 42.3551763))",POINT (-71.1039021 42.3549885),556.8,5993.4
