name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
JR,24,24403063,168,172,,1181.1814201521406,,130,,railway,30,"LINESTRING (137.1383228 35.3510248, 137.139923 35.351, 137.1406735 35.3509805, 137.1410752 35.3509476, 137.1415074 35.3508901, 137.143769 35.350508, 137.1441444 35.3504597, 137.1444637 35.3504351, 137.1448656 35.3504312, 137.145319 35.3504553, 137.1455855 35.3504877, 137.1460525 35.350568, 137.1466077 35.3507138, 137.146904 35.350801, 137.1482876 35.3511945, 137.1500372 35.351703, 137.1503787 35.3517943, 137.1507101 35.3518689, 137.1509961 35.3519225)",,0
JR,25,24403069,8001,107,,460.29634729306196,,,,railway,30,"LINESTRING (136.9371048 35.1915423, 136.9371168 35.1918698, 136.9371477 35.192235, 136.9371986 35.1925524, 136.93726 35.192793, 136.9373602 35.1931062, 136.9374296 35.1932938, 136.9375983 35.1937112, 136.9377213 35.193949, 136.9378235 35.1941427, 136.9379174 35.1943117, 136.9380135 35.194471, 136.9381267 35.1946494, 136.9381849 35.1947386, 136.9384565 35.1951065, 136.9386947 35.1954053)",,0
JR,26,24403074,86,7994,,327.74291648433126,,130,,railway,30,"LINESTRING (136.9857415 35.2433209, 136.9852799 35.2430945, 136.9847904 35.2428579, 136.9838704 35.2424548, 136.9825548 35.2419422)",,0
JR,27,24403074,7994,82,,127.10767455680596,,130,,railway,30,"LINESTRING (136.9825548 35.2419422, 136.9817917 35.2416552, 136.9812744 35.2414811)",,0
JR,28,24403074,82,88,,900.748215961833,,130,,railway,30,"LINESTRING (136.9812744 35.2414811, 136.9804451 35.2411891, 136.9791974 35.2407227, 136.9772965 35.24001, 136.977117 35.2399428, 136.9722585 35.2381058)",,0
JR,29,24403075,1,173,,254.82773530055076,,130,,railway,30,"LINESTRING (137.1208421 35.3351927, 137.1213895 35.3354532, 137.122422 35.3359298, 137.1229039 35.336157, 137.1232863 35.336322)",,0
JR,30,24403075,173,174,,45.72864707744509,,130,,railway,30,"LINESTRING (137.1232863 35.336322, 137.1235272 35.336441, 137.1237158 35.3365373)",,0
JR,31,24403075,174,175,,68.84402408879416,,130,,railway,30,"LINESTRING (137.1237158 35.3365373, 137.1243686 35.3368531)",,0
JR,32,24403075,175,6731,,27.884283180757382,,130,,railway,30,"LINESTRING (137.1243686 35.3368531, 137.1246308 35.336984)",,0
JR,33,24403075,6731,6734,,250.07999002604373,,130,,railway,30,"LINESTRING (137.1246308 35.336984, 137.1249514 35.3371438, 137.1252209 35.3372878, 137.1254376 35.3374304, 137.1256455 35.3375672, 137.1258852 35.3377609, 137.1261194 35.3379938, 137.1262609 35.3381343, 137.1263639 35.3382611, 137.1265386 35.3385524)",,0
JR,34,24403076,61,60,,936.9165130706773,,130,,railway,30,"LINESTRING (137.2369924 35.3663096, 137.2376771 35.3665408, 137.238991 35.366998, 137.2396478 35.3672147, 137.239685 35.367223, 137.2414306 35.3678156, 137.2427138 35.3682658, 137.2449247 35.3690215, 137.245109 35.369082, 137.245329 35.369138, 137.2456223 35.369207, 137.2459921 35.3692835, 137.2465928 35.3693916)",,0
JR,35,24403076,60,59,,51.88219889975993,,130,,railway,30,"LINESTRING (137.2465928 35.3693916, 137.2471527 35.3694878)",,0
JR,36,24403076,59,65,,484.92326191870416,,130,,railway,30,"LINESTRING (137.2471527 35.3694878, 137.2475974 35.3695596, 137.2479112 35.3696053, 137.2483185 35.3696375, 137.2487622 35.3696324, 137.2491591 35.3695979, 137.2495982 35.3695286, 137.2500171 35.3694494, 137.252403 35.3690077)",,0
JR,37,24403080,69,68,,21.3181776237767,,130,,railway,30,"LINESTRING (137.0371279 35.2641924, 137.0368931 35.264191)",,0
JR,38,24403080,68,76,,1699.001819857997,,130,,railway,30,"LINESTRING (137.0368931 35.264191, 137.0326259 35.2641106, 137.0320818 35.264102, 137.0312168 35.2640604, 137.0303505 35.2639922, 137.0293791 35.2638957, 137.027969 35.2637617, 137.0259603 35.2635665, 137.0254404 35.2635081, 137.0249066 35.2634304, 137.0242374 35.2633039, 137.0235917 35.2631555, 137.0230056 35.2629956, 137.0222603 35.2627467, 137.0218811 35.2626064, 137.0215085 35.2624605, 137.0211408 35.2623063, 137.0208022 35.2621546, 137.0203725 35.2619214, 137.0189067 35.261141)",,0
JR,39,24403081,15,14,,321.770072065743,,130,,railway,30,"LINESTRING (137.1770366 35.3567415, 137.1777779 35.3571898, 137.1798817 35.3584706)",,0
JR,40,24403081,14,64,,288.3332221783309,,130,,railway,30,"LINESTRING (137.1798817 35.3584706, 137.1800346 35.3585654, 137.1824354 35.3600154)",,0
JR,41,24403084,6685,2,,110.24201780639692,,130,,railway,30,"LINESTRING (137.1012773 35.3033076, 137.1005925 35.3024887)",,0
JR,42,24403092,6741,170,,1116.485848970322,,130,,railway,30,"LINESTRING (137.1379484 35.3509518, 137.1337992 35.350965, 137.1334773 35.3509528, 137.1331431 35.3509348, 137.1328207 35.3509003, 137.1325838 35.3508602, 137.1323391 35.3508081, 137.1321349 35.3507616, 137.1318807 35.3506815, 137.1316365 35.3506025, 137.1314371 35.3505157, 137.1311679 35.350405, 137.130937 35.3502874, 137.1306972 35.3501441, 137.1304286 35.3499688, 137.1302448 35.349832, 137.1299768 35.3496019, 137.1298172 35.3494499, 137.1295812 35.3491885, 137.129378 35.3489227, 137.1292697 35.3487603, 137.1291453 35.3485491, 137.1290421 35.3483369, 137.1289241 35.3480553, 137.1288082 35.3476597, 137.1286022 35.3467177)",,0
JR,43,24403093,154,8015,,1051.8359328257097,,130,,railway,30,"LINESTRING (136.9188817 35.1578915, 136.9201391 35.1592638, 136.921132 35.1603405, 136.921886 35.161167, 136.9231632 35.1625626, 136.9235579 35.1629881, 136.9242142 35.1637105, 136.9253645 35.1649572, 136.9258381 35.1654502)",,0
JR,44,24403094,6746,3,,264.6835421825425,,130,,railway,30,"LINESTRING (137.1769195 35.356611, 137.1761269 35.356135, 137.1756681 35.3558754, 137.1754098 35.3557551, 137.1752216 35.3556808, 137.1750142 35.3556099, 137.1748305 35.3555539, 137.1746073 35.3554932, 137.1744006 35.3554509)",,0
,45,24412569,7704,7719,,792.384081145216,,,,railway,30,"LINESTRING (136.5429662 34.8137108, 136.5426477 34.8173345, 136.5424284 34.8198677, 136.5423976 34.8202256, 136.5423879 34.8206367, 136.5423882 34.8208201)",,0
,46,24412570,186,197,,266.6173734932386,,,,railway,30,"LINESTRING (136.588393 34.877523, 136.5886295 34.8780583, 136.5888977 34.878663, 136.5893948 34.8797755)",,0
,47,24412573,197,199,,415.149866799815,,,,railway,30,"LINESTRING (136.5893948 34.8797755, 136.590956 34.8832825)",,0
,48,24412574,7692,7702,,1118.5833926817293,,,,railway,30,"LINESTRING (136.5461755 34.8314845, 136.5472747 34.8340923, 136.5475292 34.8346974, 136.5476775 34.8350181, 136.5478407 34.8353034, 136.5479846 34.8355552, 136.5481753 34.8358541, 136.5484191 34.8361992, 136.54873 34.836589, 136.5488898 34.8367723, 136.549142 34.8370523, 136.5494136 34.8373272, 136.549716 34.8376115, 136.5500003 34.8378547, 136.5501948 34.8380154, 136.5506201 34.8383277, 136.5511054 34.8386528, 136.551603 34.8389512, 136.5527442 34.8396434)",,0
,49,24412575,190,7723,,161.8717954198675,,,,railway,30,"LINESTRING (136.543049 34.8124711, 136.5431875 34.8110198)",,0
,50,24412575,7723,192,,409.2768814152619,,,,railway,30,"LINESTRING (136.5431875 34.8110198, 136.5432462 34.8103998, 136.5432854 34.8098801, 136.5433404 34.8092365, 136.5434218 34.8082888, 136.5434338 34.8078203, 136.5434301 34.807346)",,0
,51,24412576,196,205,,84.70189749818122,,,,railway,30,"LINESTRING (136.554883 34.8409057, 136.5556382 34.8413485)",,0
,52,24412577,178,179,,104.55841907970111,,,,railway,30,"LINESTRING (136.5989676 34.9109096, 136.5992483 34.9113646, 136.5995059 34.9117396)",,0
