name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id
,0,264884386,,,0,,,0,137.1565815,35.3519674,,
,1,264884393,,,0,,,0,137.1208421,35.3351927,,
,2,264884407,,,0,,,0,137.1005925,35.3024887,,
,3,264884413,,,0,,,0,137.1744006,35.3554509,,
,4,264884418,,,0,,,0,137.1732058,35.3552707,,
,5,264884420,,,0,,,0,137.174165,35.3554114,,
,6,264884421,,,0,,,0,137.168744,35.354671,,
,7,264884426,,,0,,,0,137.1682219,35.3546079,,
,8,264884431,,,0,,,0,137.1683034,35.3546166,,
,9,264884432,,,0,,,0,137.1686136,35.3546576,,
,10,264884433,,,0,,,0,137.1661697,35.3540008,,
,11,264884449,,,0,,,0,137.157113,35.3519431,,
,12,264884451,,,0,,,0,137.1600952,35.3518613,,
,13,264884474,,,0,,,0,137.2538626,35.3687433,,
,14,264884523,,,0,,,0,137.1798817,35.3584706,,
,15,264884528,,,0,,,0,137.1770366,35.3567415,,
,16,264884529,,,0,,,0,137.1768898,35.3566483,,
,17,264884575,,,0,,,0,137.1682848,35.3548842,,
,18,264884576,,,0,,,0,137.1681454,35.3548633,,
,19,264884581,,,0,,,0,137.1687059,35.3549467,,
,20,264884582,,,0,,,0,137.1686026,35.3549339,,
,21,264884747,,,0,,,0,137.1517587,35.3520567,,
,22,264884748,,,0,,,0,137.1524307,35.3521729,,
,23,264884749,,,0,,,0,137.1511427,35.3519472,,
,24,264884752,,,0,,,0,137.1071724,35.3270804,,
,25,264884757,,,0,,,0,137.1074439,35.3275026,,
,26,264884761,,,0,,,0,137.1005346,35.3163872,,
,27,264884770,,,0,,,0,137.1742464,35.3556913,,
,28,264884775,,,0,,,0,137.1745041,35.355729,,
,29,264884782,,,0,,,0,137.1731517,35.3555436,,
,30,264884784,,,0,,,0,137.1114559,35.3302294,,
,31,264884785,,,0,,,0,137.111287,35.330142,,
,32,264884790,,,0,,,0,137.1151446,35.3321536,,
,33,264884795,,,0,,,0,137.1026033,35.3068075,,
,34,264884807,,,0,,,0,137.0998823,35.3135349,,
,35,264884810,,,0,,,0,137.09987,35.3138418,,
,36,264884813,,,0,,,0,137.1002443,35.3158193,,
,37,264884851,,,0,,,0,137.1836616,35.36073,,
,38,264884913,,,0,,,0,137.1282758,35.346223,,
,39,264884923,,,0,,,0,137.1279792,35.3438273,,
,40,264884942,,,0,,,0,137.1284156,35.3466296,,
,41,264884957,,,0,,,0,137.128463,35.3467654,,
,42,264885012,,,0,,,0,137.1851068,35.3615606,,
,43,264885022,,,0,,,0,137.1959922,35.3662698,,
,44,264885024,,,0,,,0,137.1962311,35.3663494,,
,45,264885045,,,0,,,0,137.2017955,35.3679489,,
,46,264885046,,,0,,,0,137.2016733,35.3679419,,
,47,264885102,,,0,,,0,137.2174424,35.3668025,,
,48,264885103,,,0,,,0,137.2172644,35.3667531,,
,49,264885109,,,0,,,0,137.2117402,35.3662727,,
,50,264885114,,,0,,,0,137.211608,35.3662938,,
,51,264885164,,,0,,,0,137.2656938,35.381801,,
,52,264885166,,,0,,,0,137.2656179,35.3816713,,
,53,264885182,,,0,,,0,137.2686708,35.3865294,,
,54,264885183,,,0,,,0,137.268846,35.3866877,,
,55,264885203,,,0,,,0,137.2775462,35.3941346,,
,56,264885205,,,0,,,0,137.278454,35.3950638,,
,57,264885213,,,0,,,0,137.2816915,35.3973444,,
,58,264885215,,,0,,,0,137.279948,35.3963612,,
,59,264885548,,,0,,,0,137.2471527,35.3694878,,
,60,264885550,,,0,,,0,137.2465928,35.3693916,,
,61,264885613,,,0,,,0,137.2369924,35.3663096,,
,62,264885644,,,0,,,0,137.2299794,35.3639638,,
,63,264885646,,,0,,,0,137.2301142,35.3639871,,
,64,264885683,,,0,,,0,137.1824354,35.3600154,,
,65,264885767,,,0,,,0,137.252403,35.3690077,,
,66,264885807,,,0,,,0,137.100265,35.3020948,,
,67,264885809,,,0,,,0,137.1003091,35.3021487,,
,68,264885853,,,0,,,0,137.0368931,35.264191,,
,69,264885855,,,0,,,0,137.0371279,35.2641924,,
,70,264885857,,,0,,,0,137.0373492,35.2641979,,
,71,264885859,,,0,,,0,137.038243,35.2642139,,
,72,264885861,,,0,,,0,137.0397662,35.2642593,,
,73,264885880,,,0,,,0,137.0810863,35.2785351,,
,74,264885885,,,0,,,0,137.0099819,35.2563663,,
,75,264885887,,,0,,,0,137.0183342,35.2608349,,
,76,264885894,,,0,,,0,137.0189067,35.261141,,
,77,264885919,,,0,,,0,137.0783996,35.2730222,,
,78,264885936,,,0,,,0,137.043457,35.2643678,,
,79,264885938,,,0,,,0,137.0796514,35.2751383,,
,80,264885955,,,0,,,0,137.0634862,35.2670555,,
,81,264885956,,,0,,,0,137.0631429,35.2670542,,
,82,264886029,,,0,,,0,136.9812744,35.2414811,,
,83,264886046,,,0,,,0,137.0823382,35.2804056,,
,84,264886052,,,0,,,0,136.9629672,35.2344422,,
,85,264886058,,,0,,,0,136.963219,35.2345822,,
,86,264886061,,,0,,,0,136.9857415,35.2433209,,
,87,264886065,,,0,,,0,136.957113,35.2302585,,
,88,264886069,,,0,,,0,136.9722585,35.2381058,,
,89,264886079,,,0,,,0,136.9720927,35.2380455,,
,90,264886248,,,0,,,0,137.1167941,35.3330534,,
,91,264886250,,,0,,,0,137.1164456,35.3328531,,
,92,264886252,,,0,,,0,137.1159418,35.3325829,,
,93,264886255,,,0,,,0,137.1154302,35.3323042,,
,94,264886288,,,0,,,0,137.0070516,35.2548064,,
,95,264886291,,,0,,,0,137.008296,35.25547,,
,96,264886476,,,0,,,0,136.9476705,35.202275,,
,97,264886478,,,0,,,0,136.947604,35.2021924,,
,98,264886484,,,0,,,0,136.9486659,35.2037493,,
,99,264886486,,,0,,,0,136.9485519,35.2035749,,
,100,264886488,,,0,,,0,136.9484024,35.2033464,,
,101,264886493,,,0,,,0,136.9370887,35.1896122,,
,102,264886495,,,0,,,0,136.9370664,35.186115,,
,103,264886497,,,0,,,0,136.9370567,35.1863311,,
,104,264886499,,,0,,,0,136.9518871,35.2090193,,
,105,264886515,,,0,,,0,136.9370641,35.1860246,,
,106,264886530,,,0,,,0,136.9387617,35.1954838,,
,107,264886532,,,0,,,0,136.9386947,35.1954053,,
,108,264886538,,,0,,,0,136.9371029,35.1908152,,
,109,264886542,,,0,,,0,136.9371035,35.1914267,,
,110,264886552,,,0,,,0,136.9424496,35.1982979,,
,111,264886558,,,0,,,0,136.9433599,35.1989007,,
,112,264886560,,,0,,,0,136.9446079,35.1997188,,
,113,264886564,,,0,,,0,136.9459308,35.2005956,,
,114,264886566,,,0,,,0,136.9460155,35.2006532,,
,115,264886568,,,0,,,0,136.9393719,35.1961017,,
,116,264886575,,,0,,,0,136.9406049,35.1970634,,
,117,264886577,,,0,,,0,136.9408349,35.197216,,
,118,264886581,,,0,,,0,136.9423773,35.1982479,,
,119,264886584,,,0,,,0,136.8943967,35.1454315,,
,120,264886588,,,0,,,0,136.8950802,35.1451702,,
,121,264886594,,,0,,,0,136.8978834,35.1442281,,
,122,264886602,,,0,,,0,136.8814168,35.1717441,,
,123,264886612,,,0,,,0,136.888443,35.1506568,,
,124,264886618,,,0,,,0,136.8884667,35.1505835,,
,125,264886628,,,0,,,0,136.8908213,35.1477513,,
,126,264886630,,,0,,,0,136.8907902,35.1477816,,
,127,264886636,,,0,,,0,136.8926167,35.1462905,,
,128,264886640,,,0,,,0,136.8933901,35.1458699,,
,129,264886644,,,0,,,0,136.9533757,35.2153243,,
,130,264886648,,,0,,,0,136.953252,35.2158672,,
,131,264886650,,,0,,,0,136.9533501,35.2154381,,
,132,264886652,,,0,,,0,136.9535779,35.2133181,,
,133,264886654,,,0,,,0,136.9535719,35.2132263,,
,134,264886702,,,0,,,0,136.9527362,35.2181267,,
,135,264886704,,,0,,,0,136.9526649,35.2184463,,
,136,264886706,,,0,,,0,136.9519912,35.2212849,,
,137,264886714,,,0,,,0,136.9299452,35.169839,,
,138,264886720,,,0,,,0,136.9283489,35.1680848,,
,139,264886724,,,0,,,0,136.9259922,35.1656101,,
,140,264886729,,,0,,,0,136.9262609,35.1658846,,
,141,264886778,,,0,,,0,136.8879466,35.1528666,,
,142,264886780,,,0,,,0,136.8878057,35.1536399,,
,143,264886782,,,0,,,0,136.8876502,35.1544539,,
,144,264886790,,,0,,,0,136.8866066,35.1587988,,
,145,264886792,,,0,,,0,136.8864936,35.1591771,,
,146,264886800,,,0,,,0,136.8857658,35.1620225,,
,147,264886802,,,0,,,0,136.8853582,35.1635803,,
,148,264886806,,,0,,,0,136.8849467,35.164799,,
,149,264886808,,,0,,,0,136.8852782,35.1638534,,
,150,264886816,,,0,,,0,136.8837325,35.1672947,,
,151,264886826,,,0,,,0,136.8819438,35.1707292,,
,152,264886834,,,0,,,0,136.9507173,35.2070591,,
,153,264886846,,,0,,,0,136.9006474,35.1434137,,
,154,264886850,,,0,,,0,136.9188817,35.1578915,,
,155,264886852,,,0,,,0,136.9173203,35.1561834,,
,156,264886854,,,0,,,0,136.9499986,35.2058657,,
,157,264886860,,,0,,,0,137.0498512,35.264427,,
,158,264886866,,,0,,,0,136.9308429,35.1708308,,
,159,264886894,,,0,,,0,136.9165564,35.1553451,,
,160,264886904,,,0,,,0,136.9097359,35.1479185,,
,161,264886916,,,0,,,0,136.9102635,35.1484962,,
,162,264886925,,,0,,,0,136.9072894,35.145252,,
,163,264886927,,,0,,,0,136.9086466,35.1467282,,
,164,264886929,,,0,,,0,136.9061984,35.1440908,,
,165,264886931,,,0,,,0,136.9063055,35.1441979,,
,166,264886937,,,0,,,0,136.9040787,35.1430527,,
,167,264886958,,,0,,,0,137.1379454,35.3510313,,
,168,264886960,,,0,,,0,137.1383228,35.3510248,,
,169,264887056,,,0,,,0,137.1285711,35.346572,,
,170,264887058,,,0,,,0,137.1286022,35.3467177,,
,171,264887070,,,0,,,0,137.128462,35.3460647,,
,172,264887074,,,0,,,0,137.1509961,35.3519225,,
,173,264887170,,,0,,,0,137.1232863,35.336322,,
,174,264887172,,,0,,,0,137.1237158,35.3365373,,
,175,264887175,,,0,,,0,137.1243686,35.3368531,,
,176,264887201,,,0,,,0,137.1265962,35.3386423,,
,177,264887208,,,0,,,0,137.1274279,35.3412509,,
,178,265041384,,,0,,,0,136.5989676,34.9109096,,
,179,265041385,,,0,,,0,136.5995059,34.9117396,,
,180,265041400,,,0,,,0,136.5703118,34.8556186,,
,181,265041411,,,0,,,0,136.5821542,34.8676947,,
,182,265041415,,,0,,,0,136.582313,34.867826,,
,183,265041417,,,0,,,0,136.5851429,34.8710038,,
,184,265041418,,,0,,,0,136.5861317,34.8725572,,
,185,265041419,,,0,,,0,136.5847997,34.8705347,,
,186,265041421,,,0,,,0,136.588393,34.877523,,
,187,265041422,,,0,,,0,136.5863174,34.8729147,,
,188,265041427,,,0,,,0,136.5439881,34.8262097,,
,189,265041434,,,0,,,0,136.5424865,34.8221004,,
,190,265041454,,,0,,,0,136.543049,34.8124711,,
,191,265041457,,,0,,,0,136.5430223,34.8127395,,
,192,265041458,,,0,,,0,136.5434301,34.807346,,
,193,265041551,,,0,,,0,136.5442369,34.8268238,,
,194,265041555,,,0,,,0,136.5431269,34.8044293,,
,195,265041569,,,0,,,0,136.5461009,34.8313073,,
,196,265041589,,,0,,,0,136.554883,34.8409057,,
,197,265041639,,,0,,,0,136.5893948,34.8797755,,
,198,265041640,,,0,,,0,136.5701442,34.855344,,
,199,265041642,,,0,,,0,136.590956,34.8832825,,
,200,265041643,,,0,,,0,136.5910316,34.8834772,,
,201,265041652,,,0,,,0,136.5983946,34.9075466,,
,202,265041655,,,0,,,0,136.5984987,34.9038817,,
,203,265041657,,,0,,,0,136.5979809,34.8994037,,
,204,265041659,,,0,,,0,136.5982228,34.900329,,
,205,265041775,,,0,,,0,136.5556382,34.8413485,,
,206,265041777,,,0,,,0,136.5576318,34.8425397,,
,207,265041778,,,0,,,0,136.5577308,34.8425956,,
,208,265043900,,,0,,,0,136.9684734,34.9975006,,
,209,265043907,,,0,,,0,136.9618659,35.0087042,,
,210,265043908,,,0,,,0,136.9631252,35.00664,,
,211,265043913,,,0,,,0,136.9641657,35.0052985,,
,212,265043916,,,0,,,0,136.9659144,35.0034565,,
,213,265043918,,,0,,,0,136.9667983,35.0021058,,
,214,265043921,,,0,,,0,136.9664214,35.0027729,,
,215,265043925,,,0,,,0,136.9672493,35.0008977,,
,216,265043926,,,0,,,0,136.9635426,35.0056686,,
,217,265043927,,,0,,,0,136.9640873,35.0049439,,
,218,265043928,,,0,,,0,136.9632609,35.0059845,,
,219,265043929,,,0,,,0,136.9657054,35.0021745,,
