name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,11531,879302314,,yes,,,"POLYGON ((106.5465422 29.5751604, 106.5465416 29.5750983, 106.5466383 29.5750976, 106.5466387 29.5751327, 106.5467099 29.5751322, 106.5467088 29.575034, 106.5466377 29.5750346, 106.5466381 29.5750779, 106.5465413 29.5750787, 106.5465411 29.5750541, 106.54643 29.575055, 106.5464315 29.5751946, 106.5465166 29.5751939, 106.5465172 29.5752512, 106.5465945 29.5752505, 106.5465951 29.5753098, 106.5467168 29.5753088, 106.5467159 29.5752249, 106.5466227 29.5752256, 106.546622 29.5751598, 106.5465422 29.5751604))",POINT (106.546578 29.5751656),457.2,4921.6
,11532,879302315,,yes,,,"POLYGON ((106.5469766 29.5756324, 106.5472409 29.5756228, 106.5472367 29.5755356, 106.5469724 29.5755451, 106.5469766 29.5756324))",POINT (106.5471066 29.575584),247.5,2663.6
,11533,879302316,,yes,,,"POLYGON ((106.5467861 29.5756592, 106.5469142 29.5756546, 106.5469095 29.5755566, 106.5467814 29.5755612, 106.546782 29.5755727, 106.5467861 29.5756592))",POINT (106.5468478 29.5756079),135.6,1459.8
,11534,879302317,,yes,,,"POLYGON ((106.5463677 29.5756744, 106.5467861 29.5756592, 106.546782 29.5755727, 106.5463636 29.5755879, 106.5463677 29.5756744))",POINT (106.5465748 29.5756235),389.5,4192.3
,11535,879302318,,yes,,,"POLYGON ((106.5469953 29.5753711, 106.5472573 29.5754073, 106.5472716 29.5753291, 106.5470097 29.5752929, 106.5469953 29.5753711))",POINT (106.5471335 29.5753501),225.4,2426
,11536,879302319,,yes,,,"POLYGON ((106.5467593 29.5753384, 106.5469953 29.5753711, 106.5470097 29.5752929, 106.5470104 29.5752887, 106.5467744 29.575256, 106.5467593 29.5753384))",POINT (106.5468849 29.5753136),214.2,2305.8
,11537,879302320,,yes,,,"POLYGON ((106.5469969 29.5747194, 106.5475559 29.5748103, 106.5475682 29.5747531, 106.5470092 29.5746621, 106.5469969 29.5747194))",POINT (106.5472825 29.5747362),358.4,3857.4
,11538,879302321,,yes,,,"POLYGON ((106.5473261 29.574898, 106.5473121 29.5749776, 106.547312 29.5749785, 106.547638 29.5750219, 106.5476522 29.5749414, 106.5473261 29.574898))",POINT (106.5474821 29.5749599),288,3100.3
,11539,879302322,,yes,,,"POLYGON ((106.5469527 29.5749297, 106.5473121 29.5749776, 106.5473261 29.574898, 106.5469667 29.5748502, 106.5469527 29.5749297))",POINT (106.5471394 29.5749139),313.7,3376.2
,11540,879302323,,yes,,,"POLYGON ((106.5472373 29.5751003, 106.5472233 29.5751798, 106.5472232 29.5751808, 106.5475492 29.5752241, 106.5475634 29.5751437, 106.5472373 29.5751003))",POINT (106.5473932 29.5751622),288,3100.3
,11541,879302324,,yes,,,"POLYGON ((106.5468639 29.575132, 106.5472233 29.5751798, 106.5472373 29.5751003, 106.5468779 29.5750525, 106.5468639 29.575132))",POINT (106.5470506 29.5751162),313.7,3376.2
,11542,879418612,,yes,,,"POLYGON ((106.5197106 29.5314466, 106.5202061 29.5314494, 106.5202068 29.5313649, 106.5197112 29.5313621, 106.5197106 29.5314466))",POINT (106.5199587 29.5314057),451.2,4856.7
,11543,879418613,,yes,,,"POLYGON ((106.5201247 29.5311549, 106.520125 29.5311246, 106.5200193 29.531124, 106.5200196 29.5310963, 106.5198635 29.5310954, 106.5198632 29.5311231, 106.5197778 29.5311226, 106.5197776 29.5311529, 106.5197404 29.5311527, 106.5197401 29.5311969, 106.5201531 29.5311992, 106.5201535 29.5311551, 106.5201247 29.5311549))",POINT (106.5199475 29.5311555),356.4,3836
,11544,879418617,,yes,,,"POLYGON ((106.5194917 29.53128, 106.5194731 29.53133, 106.5193485 29.5312949, 106.5193325 29.5313381, 106.5193624 29.5313465, 106.5193391 29.5314093, 106.519415 29.5314306, 106.5194383 29.5313678, 106.5194571 29.5313731, 106.5195012 29.5313855, 106.5195358 29.5312924, 106.5195483 29.5312588, 106.5195042 29.5312464, 106.5194535 29.5312321, 106.5194679 29.5311934, 106.5195094 29.5312051, 106.5195677 29.5312215, 106.5196019 29.5311294, 106.5196167 29.5310896, 106.5195584 29.5310732, 106.5195281 29.5310647, 106.5195334 29.5310504, 106.5195523 29.5310557, 106.5195582 29.5310398, 106.5196313 29.5310604, 106.5196556 29.530995, 106.5195724 29.5309717, 106.5195634 29.5309958, 106.5194651 29.5309682, 106.519444 29.5310253, 106.5194638 29.5310308, 106.5194585 29.5310451, 106.5194437 29.5310849, 106.5195134 29.5311045, 106.5195436 29.531113, 106.5195236 29.531167, 106.519482 29.5311553, 106.5194142 29.5311362, 106.5194 29.5311743, 106.5193732 29.5312467, 106.519441 29.5312658, 106.5194917 29.53128))",POINT (106.5194887 29.5311844),597.2,6428.5
,11545,879418618,,yes,,,"POLYGON ((106.5197442 29.5306895, 106.5198112 29.53068, 106.5197977 29.5306088, 106.519688 29.5306245, 106.5196489 29.5306135, 106.5195936 29.5305979, 106.5195376 29.5307488, 106.5195928 29.5307644, 106.5195766 29.5308083, 106.5195141 29.5307907, 106.5194906 29.5308539, 106.519665 29.5309029, 106.5196884 29.5308397, 106.5197442 29.5306895))",POINT (106.519645 29.5307399),537.8,5788.8
,11546,879418619,,yes,,,"POLYGON ((106.5203623 29.53103, 106.5202644 29.5310591, 106.5202443 29.5310077, 106.5203463 29.5309774, 106.5202993 29.5308574, 106.5201972 29.5308876, 106.5201939 29.530879, 106.520129 29.5308982, 106.5203141 29.5313708, 106.5203789 29.5313515, 106.5203723 29.5313346, 106.5204703 29.5313056, 106.5204227 29.5311841, 106.5203247 29.5312131, 106.5203091 29.5311733, 106.5204071 29.5311443, 106.5203623 29.53103))",POINT (106.520297 29.5311095),793.9,8545.2
,11547,879418620,,yes,,,"POLYGON ((106.5200874 29.5308118, 106.5202506 29.5307618, 106.5201527 29.5305202, 106.5199412 29.5305563, 106.5199563 29.5306232, 106.5200074 29.5306144, 106.5200874 29.5308118))",POINT (106.5201075 29.5306564),530.7,5712.6
,11548,879444094,,yes,,,"POLYGON ((106.5341677 29.7400419, 106.5342767 29.7399536, 106.5342265 29.7399069, 106.5341175 29.7399952, 106.5340936 29.7400145, 106.5341089 29.7400287, 106.5341328 29.7400094, 106.5341677 29.7400419))",POINT (106.5341919 29.7399767),108.1,1163.8
,11549,879444095,,yes,,,"POLYGON ((106.5343517 29.7401094, 106.5343955 29.740074, 106.5343593 29.7400403, 106.5343155 29.7400757, 106.5343517 29.7401094))",POINT (106.5343555 29.7400749),29.2,314.2
,11550,879444096,,yes,,,"POLYGON ((106.5341139 29.7402159, 106.5342474 29.7401078, 106.5343123 29.7400552, 106.5342644 29.7400106, 106.534066 29.7401713, 106.5341139 29.7402159))",POINT (106.5341892 29.7401133),175.6,1889.8
