name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,4536,592894790,377,2325,1,12.75,,,,service,8,"LINESTRING (-111.9183574 33.4166779, -111.9183554 33.4167929)",walk;bike,1,0,,
,4537,592894791,2326,2327,1,7.95,,,,service,8,"LINESTRING (-111.9178856 33.4170923, -111.9178102 33.4170919, -111.9178000 33.4170918)",walk;bike,1,0,,
,4538,592894791,2327,2326,1,7.95,,,,service,8,"LINESTRING (-111.9178000 33.4170918, -111.9178102 33.4170919, -111.9178856 33.4170923)",walk;bike,1,0,,
,4539,592894792,2328,2329,1,123.43,,,,service,8,"LINESTRING (-111.9181934 33.4183416, -111.9181838 33.4172283)",walk;bike,1,0,,
,4540,592894792,2329,2328,1,123.43,,,,service,8,"LINESTRING (-111.9181838 33.4172283, -111.9181934 33.4183416)",walk;bike,1,0,,
,4541,592894793,2328,2330,1,7.22,,,,service,8,"LINESTRING (-111.9181934 33.4183416, -111.9181954 33.4184067)",walk;bike,1,0,,
,4542,592894793,2330,2328,1,7.22,,,,service,8,"LINESTRING (-111.9181954 33.4184067, -111.9181934 33.4183416)",walk;bike,1,0,,
,4543,592894794,2329,2331,1,35.68,,,,service,8,"LINESTRING (-111.9181838 33.4172283, -111.9178000 33.4172262)",walk;bike,1,0,,
,4544,592894794,2331,2329,1,35.68,,,,service,8,"LINESTRING (-111.9178000 33.4172262, -111.9181838 33.4172283)",walk;bike,1,0,,
,4545,592895791,2267,2332,1,54.5,,,,service,8,"LINESTRING (-111.9228452 33.4153555, -111.9227605 33.4154403, -111.9227586 33.4158213)",walk;bike,1,0,,
,4546,592895791,2332,2267,1,54.5,,,,service,8,"LINESTRING (-111.9227586 33.4158213, -111.9227605 33.4154403, -111.9228452 33.4153555)",walk;bike,1,0,,
,4547,592895792,2332,2333,1,33.79,,,,service,8,"LINESTRING (-111.9227586 33.4158213, -111.9231220 33.4158205)",walk;bike,1,0,,
,4548,592895792,2333,2332,1,33.79,,,,service,8,"LINESTRING (-111.9231220 33.4158205, -111.9227586 33.4158213)",walk;bike,1,0,,
,4549,592897293,2257,362,1,15.02,,,,service,8,"LINESTRING (-111.9232721 33.4166403, -111.9232733 33.4167758)",walk;bike,1,0,,
,4550,592897293,362,2257,1,15.02,,,,service,8,"LINESTRING (-111.9232733 33.4167758, -111.9232721 33.4166403)",walk;bike,1,0,,
,4551,592897295,2256,2334,1,23.3,,,,service,8,"LINESTRING (-111.9232662 33.4161892, -111.9235168 33.4161892)",walk;bike,1,0,,
,4552,592897295,2334,2256,1,23.3,,,,service,8,"LINESTRING (-111.9235168 33.4161892, -111.9232662 33.4161892)",walk;bike,1,0,,
,4553,592897304,2258,2259,1,82.99,,,,service,8,"LINESTRING (-111.9243327 33.4166708, -111.9243235 33.4159223)",walk;bike,1,0,,
,4554,592897304,2259,2258,1,82.99,,,,service,8,"LINESTRING (-111.9243235 33.4159223, -111.9243327 33.4166708)",walk;bike,1,0,,
,4555,592897304,2259,2254,1,18.02,,,,service,8,"LINESTRING (-111.9243235 33.4159223, -111.9243212 33.4157598)",walk;bike,1,0,,
,4556,592897304,2254,2259,1,18.02,,,,service,8,"LINESTRING (-111.9243212 33.4157598, -111.9243235 33.4159223)",walk;bike,1,0,,
,4557,593220656,2335,2336,1,49.2,,,,service,8,"LINESTRING (-111.9255463 33.4150875, -111.9258780 33.4150897, -111.9259119 33.4150978, -111.9259349 33.4151160, -111.9259507 33.4151422, -111.9259618 33.4152218)",walk;bike,0,0,,
,4558,593220657,2337,1095,1,22.29,,,,service,8,"LINESTRING (-111.9260498 33.4152214, -111.9262895 33.4152234)",walk;bike,1,0,,
,4559,593220657,1095,2337,1,22.29,,,,service,8,"LINESTRING (-111.9262895 33.4152234, -111.9260498 33.4152214)",walk;bike,1,0,,
,4560,593220658,2338,2336,1,32.55,,,,service,8,"LINESTRING (-111.9256117 33.4152234, -111.9259618 33.4152218)",walk;bike,1,0,,
,4561,593220658,2336,2338,1,32.55,,,,service,8,"LINESTRING (-111.9259618 33.4152218, -111.9256117 33.4152234)",walk;bike,1,0,,
,4562,593220658,2336,2337,1,8.18,,,,service,8,"LINESTRING (-111.9259618 33.4152218, -111.9260498 33.4152214)",walk;bike,1,0,,
,4563,593220658,2337,2336,1,8.18,,,,service,8,"LINESTRING (-111.9260498 33.4152214, -111.9259618 33.4152218)",walk;bike,1,0,,
,4564,593220659,2339,2335,1,9.7,,,,service,8,"LINESTRING (-111.9255486 33.4150000, -111.9255463 33.4150875)",walk;bike,1,0,,
,4565,593220659,2335,2339,1,9.7,,,,service,8,"LINESTRING (-111.9255463 33.4150875, -111.9255486 33.4150000)",walk;bike,1,0,,
