geometry,TAZ,x_coord,y_coord,COUNT,FIRST_COUN
"MULTIPOLYGON (((-122.411264122545 37.7821582308535,-122.411464124206 37.7820582351444,-122.412808131633 37.7809062789707,-122.412864131938 37.7808582807985,-122.413464135296 37.780358299944,-122.414264140227 37.779758323413,-122.414564145355 37.7799583189501,-122.414664153531 37.7808582914406,-122.4148641637 37.7818582613926,-122.415064173117 37.7827582344585,-122.414083162117 37.7828732251147,-122.413364154051 37.7829582182476,-122.411764136156 37.783158202639,-122.411097128643 37.7832361963041,-122.410064117003 37.7833581864609,-122.410035114905 37.7831241935715,-122.41106112129 37.7823172247089,-122.411264122545 37.7821582308535)))",100042,-122.4130805,37.78191969,1,6075
"MULTIPOLYGON (((-122.411964146168 37.7841581726506,-122.412164155446 37.7850581457689,-122.410464136839 37.7853581265552,-122.410264126908 37.7843581565129,-122.410064117003 37.7833581864609,-122.411097128643 37.7832361963041,-122.411764136156 37.783158202639,-122.411951145501 37.7840911746624,-122.411964146168 37.7841581726506)))",100043,-122.411105,37.78423629,1,6075
"MULTIPOLYGON (((-122.411951145501 37.7840911746624,-122.411764136156 37.783158202639,-122.413364154051 37.7829582182476,-122.414083162117 37.7828732251147,-122.415064173117 37.7827582344585,-122.415364184556 37.7837582049756,-122.415364191578 37.7846581768573,-122.413864174758 37.7848581618868,-122.413017165145 37.7849581538432,-122.412164155446 37.7850581457689,-122.411964146168 37.7841581726506,-122.411951145501 37.7840911746624)))",100044,-122.4136194,37.78390174,1,6075
"MULTIPOLYGON (((-122.417438192291 37.7815492862176,-122.417893197315 37.7814922906844,-122.418164200305 37.781458293347,-122.418364209909 37.7823582663423,-122.418564219536 37.7832582393289,-122.418664224759 37.7837582242527,-122.418764229988 37.7842582091741,-122.417164212028 37.7844581935899,-122.416264201809 37.7845581852214,-122.415364191578 37.7846581768573,-122.415364184556 37.7837582049756,-122.415064173117 37.7827582344585,-122.4148641637 37.7818582613926,-122.415664172566 37.7817582692279,-122.416564182626 37.7816582776564,-122.417438192291 37.7815492862176)))",100051,-122.4168273,37.78305894,1,6075
"MULTIPOLYGON (((-122.417464161715 37.7776584081351,-122.417564170839 37.7786583774379,-122.417764180372 37.7795583504601,-122.417964189928 37.7804583234735,-122.418164200305 37.781458293347,-122.417893197315 37.7814922906844,-122.417438192291 37.7815492862176,-122.416564182626 37.7816582776564,-122.415664172566 37.7817582692279,-122.4148641637 37.7818582613926,-122.414664153531 37.7808582914406,-122.414564145355 37.7799583189501,-122.414264140227 37.779758323413,-122.41576414872 37.7785583698244,-122.41726415698 37.7773584163237,-122.417464161715 37.7776584081351)))",100052,-122.4163505,37.77999531,1,6075
"MULTIPOLYGON (((-122.42076420225 37.7778584216283,-122.420864206693 37.7782584096761,-122.419264189379 37.7784583938475,-122.417564170839 37.7786583774379,-122.417464161715 37.7776584081351,-122.41726415698 37.7773584163237,-122.418564165072 37.7764584523092,-122.419764171848 37.7755584877476,-122.420264174428 37.7751585033133,-122.420364178028 37.775458494509,-122.420464183259 37.7759584794299,-122.420464186511 37.7763584668831,-122.420664196997 37.7773584367157,-122.42076420225 37.7778584216283)))",100053,-122.4192215,37.77726914,1,6075
"MULTIPOLYGON (((-122.418164200305 37.781458293347,-122.417964189928 37.7804583234735,-122.417764180372 37.7795583504601,-122.417564170839 37.7786583774379,-122.419264189379 37.7784583938475,-122.420864206693 37.7782584096761,-122.421264226155 37.7800583555707,-122.421364231444 37.7805583404694,-122.42146423674 37.7810583253657,-122.421564242042 37.7815583102595,-122.42166424653 37.7819582982906,-122.420064228845 37.7821582826024,-122.418364209909 37.7823582663423,-122.418164200305 37.781458293347)))",100054,-122.4196167,37.78031049,1,6075
"MULTIPOLYGON (((-122.42166424653 37.7819582982906,-122.421764251845 37.7824582831798,-122.421879256945 37.7829092696931,-122.421957261832 37.7833882551082,-122.422027266487 37.7838502410085,-122.420464249127 37.7840582253574,-122.418764229988 37.7842582091741,-122.418664224759 37.7837582242527,-122.418564219536 37.7832582393289,-122.418364209909 37.7823582663423,-122.420064228845 37.7821582826024,-122.42166424653 37.7819582982906)))",100055,-122.4202132,37.78310878,1,6075
"MULTIPOLYGON (((-122.414164120494 37.777358397731,-122.415264140457 37.7782583762123,-122.41576414872 37.7785583698244,-122.414264140227 37.779758323413,-122.413464135296 37.780358299944,-122.412964126255 37.7799583094553,-122.41246411724 37.779558318957,-122.41196410825 37.7791583284489,-122.413564117275 37.7778583785331,-122.414164120494 37.777358397731)))",100061,-122.4138394,37.7788696,1,6075
"MULTIPOLYGON (((-122.416964136056 37.775158483344,-122.417284137874 37.7749184927898,-122.418164142824 37.7742585187853,-122.418556150186 37.7746115101099,-122.419164161637 37.7751584966568,-122.419764171848 37.7755584877476,-122.418564165072 37.7764584523092,-122.41726415698 37.7773584163237,-122.41636414088 37.7766584328127,-122.415764129931 37.7761584448301,-122.416164132251 37.7758584566195,-122.416564134557 37.7755584684147,-122.416964136056 37.775158483344)))",100062,-122.4177418,37.77583363,1,6075
"MULTIPOLYGON (((-122.414164120494 37.777358397731,-122.413564117275 37.7778583785331,-122.41196410825 37.7791583284489,-122.411364098101 37.7787583373346,-122.410964090349 37.7783583474033,-122.410364079509 37.7778583593797,-122.410864082405 37.7774583748255,-122.411464085695 37.7769583939964,-122.411964088533 37.776558409464,-122.412664093684 37.7761584261467,-122.413164102595 37.7765584166845,-122.413664111531 37.7769584072127,-122.414164120494 37.777358397731)))",100063,-122.4122558,37.77763574,1,6075
"MULTIPOLYGON (((-122.415764129931 37.7761584448301,-122.415064125638 37.7766584249936,-122.414164120494 37.777358397731,-122.413664111531 37.7769584072127,-122.413164102595 37.7765584166845,-122.412664093684 37.7761584261467,-122.413964101172 37.7751584651901,-122.414264103114 37.7749584732486,-122.414464106986 37.7751584682157,-122.414764112027 37.7753584637855,-122.415164119799 37.775758453709,-122.415764129931 37.7761584448301)))",100064,-122.4141948,37.77615844,1,6075
"MULTIPOLYGON (((-122.415264140457 37.7782583762123,-122.414164120494 37.777358397731,-122.415064125638 37.7766584249936,-122.415764129931 37.7761584448301,-122.41636414088 37.7766584328127,-122.41726415698 37.7773584163237,-122.41576414872 37.7785583698244,-122.415264140457 37.7782583762123)))",100065,-122.4157135,37.77736867,1,6075
"MULTIPOLYGON (((-122.415564111179 37.7740585092444,-122.415364108088 37.773958511153,-122.416564114068 37.7729585497215,-122.417064123767 37.773458537132,-122.417664133858 37.7738585282682,-122.418164142824 37.7742585187853,-122.417284137874 37.7749184927898,-122.416964136056 37.775158483344,-122.416564134557 37.7755584684147,-122.416164132251 37.7758584566195,-122.415764129931 37.7761584448301,-122.415164119799 37.775758453709,-122.414764112027 37.7753584637855,-122.414464106986 37.7751584682157,-122.414264103114 37.7749584732486,-122.414764105039 37.7744584918907,-122.415064108514 37.7744584937112,-122.415164108893 37.7743584974418,-122.415564111179 37.7740585092444)))",100066,-122.4161887,37.77459387,1,6075
"MULTIPOLYGON (((-122.40746408029 37.7826581929824,-122.408164085099 37.7821582126238,-122.408764095297 37.7825582037195,-122.408964099196 37.7827581986763,-122.408264094386 37.7832581790355,-122.408564099504 37.7834581745763,-122.409064109284 37.7839581619562,-122.408564106132 37.7843581466072,-122.408446105388 37.7844531429676,-122.40706409652 37.7855581006187,-122.40676409428 37.7857580926728,-122.406264084517 37.7852581052868,-122.405764075503 37.7848581147877,-122.405264066516 37.7844581242788,-122.40746408029 37.7826581929824)))",100071,-122.407308,37.78400513,1,6075
"MULTIPOLYGON (((-122.408164085099 37.7821582126238,-122.409664093552 37.7808582618792,-122.410264104487 37.7813582498675,-122.410764113503 37.7817582403654,-122.411264122545 37.7821582308535,-122.41106112129 37.7823172247089,-122.410035114905 37.7831241935715,-122.409864113827 37.7832581884014,-122.409692112852 37.783408182729,-122.409064109284 37.7839581619562,-122.408564099504 37.7834581745763,-122.408264094386 37.7832581790355,-122.408964099196 37.7827581986763,-122.408764095297 37.7825582037195,-122.408164085099 37.7821582126238)))",100072,-122.4095876,37.78234497,1,6075
"MULTIPOLYGON (((-122.405264066516 37.7844581242788,-122.404764056843 37.7839581368586,-122.404164047401 37.7836581426474,-122.403664037789 37.783158155204,-122.404164041029 37.7827581705199,-122.405964052767 37.7813582244972,-122.40676405804 37.7807582478369,-122.407264067675 37.7812582352718,-122.407764076611 37.7816582258001,-122.408164085099 37.7821582126238,-122.40746408029 37.7826581929824,-122.405264066516 37.7844581242788)))",100073,-122.4059441,37.78261454,1,6075
"MULTIPOLYGON (((-122.40676405804 37.7807582478369,-122.408164066753 37.7796582902912,-122.408764077592 37.7801582783153,-122.40926408579 37.7804582719518,-122.409664093552 37.7808582618792,-122.408164085099 37.7821582126238,-122.407764076611 37.7816582258001,-122.407264067675 37.7812582352718,-122.40676405804 37.7807582478369)))",100074,-122.4082119,37.78086375,1,6075
"MULTIPOLYGON (((-122.411364098101 37.7787583373346,-122.41196410825 37.7791583284489,-122.409664093552 37.7808582618792,-122.40926408579 37.7804582719518,-122.408764077592 37.7801582783153,-122.408164066753 37.7796582902912,-122.408664069764 37.7792583056936,-122.409264073195 37.7787583248113,-122.409864076587 37.7782583439436,-122.410364079509 37.7778583593797,-122.410964090349 37.7783583474033,-122.411364098101 37.7787583373346)))",100075,-122.4100437,37.77937164,1,6075
"MULTIPOLYGON (((-122.412808131633 37.7809062789707,-122.411464124206 37.7820582351444,-122.411264122545 37.7821582308535,-122.410764113503 37.7817582403654,-122.410264104487 37.7813582498675,-122.409664093552 37.7808582618792,-122.41196410825 37.7791583284489,-122.41246411724 37.779558318957,-122.412964126255 37.7799583094553,-122.413464135296 37.780358299944,-122.412864131938 37.7808582807985,-122.412808131633 37.7809062789707)))",100076,-122.4115784,37.78065608,1,6075
