name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
羽毛球馆,10,207596101,,yes,,pitch,,"POLYGON ((103.9810621 30.7663644, 103.9813871 30.7664597, 103.9815984 30.7661094, 103.9811518 30.7658628, 103.9810621 30.7663644))",POINT (103.9812984 30.7661823),2015.7,21696.3
健美操馆,11,207596103,,yes,,sports_centre,,"POLYGON ((103.9814217 30.7664789, 103.9816871 30.7661614, 103.9818828 30.7663953, 103.9815998 30.7666149, 103.9814217 30.7664789))",POINT (103.9816527 30.7664033),1070.1,11518.8
游泳池,12,210164002,,,,swimming_pool,,"POLYGON ((103.978875 30.7705448, 103.9791699 30.7701723, 103.979 30.770073, 103.9787052 30.7704456, 103.978875 30.7705448))",POINT (103.9789375 30.7703089),981.4,10563.7
游泳池,13,210164009,,,,swimming_pool,,"POLYGON ((103.9791242 30.770676, 103.9794094 30.7703109, 103.979247 30.7702172, 103.9789618 30.7705823, 103.9791242 30.770676))",POINT (103.9791856 30.7704466),912.2,9818.7
天佑斋16号楼,14,239380399,,dormitory,,,,"POLYGON ((103.977858 30.7688174, 103.9775037 30.7686077, 103.9773765 30.7687664, 103.977748 30.7689863, 103.9776377 30.7691239, 103.9771994 30.7688643, 103.977535 30.7684458, 103.9779561 30.7686951, 103.977858 30.7688174))",POINT (103.9775617 30.7687794),1914.4,20606
永不开门的五食堂,15,239380414,,yes,,,,"POLYGON ((103.9753565 30.7699757, 103.97582 30.7702403, 103.9755061 30.7706837, 103.9750191 30.7704362, 103.9753565 30.7699757))",POINT (103.9754231 30.7703336),3162.1,34036.5
北区夜夜笙歌一条街,16,239380416,,yes,,,,"POLYGON ((103.9758523 30.7701773, 103.9760645 30.769916, 103.9761134 30.7699454, 103.9765079 30.7694597, 103.9764093 30.7694006, 103.976601 30.7691646, 103.9762664 30.7689639, 103.975468 30.7699468, 103.9758523 30.7701773))",POINT (103.976059 30.769586),6146.9,66164.7
澡堂,17,239380420,,yes,public_bath,,,"POLYGON ((103.9770711 30.7684523, 103.9767568 30.7682865, 103.9769112 30.7680922, 103.9771649 30.7681964, 103.9770932 30.7682628, 103.9771483 30.7683528, 103.9770711 30.7684523))",POINT (103.9769758 30.7682672),857.3,9227.8
,18,239380845,,,parking,,,"POLYGON ((103.9872233 30.7644201, 103.9877393 30.7648001, 103.9882043 30.7643324, 103.9878867 30.7641375, 103.9876287 30.7640083, 103.9872233 30.7644201))",POINT (103.9877074 30.7643912),4219.5,45417.8
大田学校,19,262755117,,,school,,,"POLYGON ((103.9710066 30.7779419, 103.9701938 30.777291, 103.9714697 30.7761452, 103.9722459 30.7767832, 103.9715963 30.7774126, 103.9715614 30.7773819, 103.9714373 30.7774929, 103.9711636 30.7777378, 103.9711569 30.7778119, 103.9710066 30.7779419))",POINT (103.9712258 30.7770377),18173.1,195613.5
,20,262755118,,school,,,,"POLYGON ((103.9713903 30.7770545, 103.9717247 30.7767672, 103.97166 30.7767115, 103.9713256 30.7769989, 103.9713903 30.7770545))",POINT (103.9715252 30.776883),394.5,4246.2
,21,262755119,,school,,,,"POLYGON ((103.9710756 30.7765287, 103.9711444 30.7765852, 103.9712825 30.776461, 103.9712137 30.7764045, 103.9710756 30.7765287))",POINT (103.9711791 30.7764949),173.4,1866
,22,262755120,,school,,,,"POLYGON ((103.9711853 30.776871, 103.9712479 30.7769229, 103.9715741 30.7766326, 103.9715115 30.7765807, 103.9711853 30.776871))",POINT (103.9713797 30.7767518),372.2,4006.7
,23,262755121,,school,,,,"POLYGON ((103.9713596 30.7762622, 103.9716124 30.7764714, 103.9717264 30.7763697, 103.9714736 30.7761605, 103.9713596 30.7762622))",POINT (103.971543 30.7763159),525.5,5656.8
,24,262755131,,,,pitch,,"POLYGON ((103.9710535 30.7767262, 103.9713144 30.7764799, 103.9714351 30.7765743, 103.9711742 30.7768206, 103.9710535 30.7767262))",POINT (103.9712443 30.7766502),576.4,6204.5
,25,262755133,,,,pitch,,"POLYGON ((103.9714054 30.7773126, 103.9715149 30.7772158, 103.9713299 30.7770614, 103.9712204 30.7771583, 103.9714054 30.7773126))",POINT (103.9713676 30.777187),369.2,3974.3
