name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,200007,,1359,100002,,,,,,connector with poi,-1,"LINESTRING (108.9281192 34.2768127 ,108.92803036071427 34.27654342142857)"
,200008,,1364,100002,,,,,,connector with poi,-1,"LINESTRING (108.9256762 34.2766254 ,108.92803036071427 34.27654342142857)"
,200009,,1377,100002,,,,,,connector with poi,-1,"LINESTRING (108.9269405 34.2768787 ,108.92803036071427 34.27654342142857)"
,200010,,1380,100002,,,,,,connector with poi,-1,"LINESTRING (108.9256923 34.2763716 ,108.92803036071427 34.27654342142857)"
,200011,,1381,100002,,,,,,connector with poi,-1,"LINESTRING (108.9278674 34.2764736 ,108.92803036071427 34.27654342142857)"
,200012,,1384,100002,,,,,,connector with poi,-1,"LINESTRING (108.9268384 34.2761885 ,108.92803036071427 34.27654342142857)"
,200013,,1390,100002,,,,,,connector with poi,-1,"LINESTRING (108.9276778 34.2768596 ,108.92803036071427 34.27654342142857)"
,200014,,1408,100002,,,,,,connector with poi,-1,"LINESTRING (108.9272799 34.2764294 ,108.92803036071427 34.27654342142857)"
,200015,,2894,100002,,,,,,connector with poi,-1,"LINESTRING (108.9296143 34.2762032 ,108.92803036071427 34.27654342142857)"
,200016,,2895,100002,,,,,,connector with poi,-1,"LINESTRING (108.9298945 34.2765998 ,108.92803036071427 34.27654342142857)"
,200017,,2903,100002,,,,,,connector with poi,-1,"LINESTRING (108.9289021 34.2768823 ,108.92803036071427 34.27654342142857)"
,200018,,2908,100002,,,,,,connector with poi,-1,"LINESTRING (108.9290801 34.2767183 ,108.92803036071427 34.27654342142857)"
,200019,,2917,100002,,,,,,connector with poi,-1,"LINESTRING (108.9287041 34.2762441 ,108.92803036071427 34.27654342142857)"
,200020,,2918,100002,,,,,,connector with poi,-1,"LINESTRING (108.9289351 34.2763361 ,108.92803036071427 34.27654342142857)"
,200021,,2920,100002,,,,,,connector with poi,-1,"LINESTRING (108.9295429 34.276946 ,108.92803036071427 34.27654342142857)"
,200022,,2925,100002,,,,,,connector with poi,-1,"LINESTRING (108.929926 34.2768918 ,108.92803036071427 34.27654342142857)"
,200023,,2940,100002,,,,,,connector with poi,-1,"LINESTRING (108.929002 34.2765232 ,108.92803036071427 34.27654342142857)"
,200024,,2941,100002,,,,,,connector with poi,-1,"LINESTRING (108.9295379 34.2767589 ,108.92803036071427 34.27654342142857)"
,200025,,2953,100002,,,,,,connector with poi,-1,"LINESTRING (108.929552 34.2765639 ,108.92803036071427 34.27654342142857)"
,200026,,2955,100002,,,,,,connector with poi,-1,"LINESTRING (108.9289177 34.2761621 ,108.92803036071427 34.27654342142857)"
,200027,,2963,100002,,,,,,connector with poi,-1,"LINESTRING (108.9292316 34.2762273 ,108.92803036071427 34.27654342142857)"
,300000,,388,100003,,,,,,connector with residential,-1,"LINESTRING (108.9304381 34.2763365 ,108.93282070892856 34.27661730892858)"
,300001,,390,100003,,,,,,connector with residential,-1,"LINESTRING (108.9328929 34.2768169 ,108.93282070892856 34.27661730892858)"
,300002,,391,100003,,,,,,connector with residential,-1,"LINESTRING (108.9343505 34.2768089 ,108.93282070892856 34.27661730892858)"
