name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,15,182169977,,roof,,,,"POLYGON ((139.7673052 35.6824603, 139.7671755 35.6821116, 139.7665918 35.6805663, 139.7664575 35.6801942, 139.7663967 35.6799583, 139.7664797 35.6799361, 139.7665958 35.6802233, 139.7666553 35.680354, 139.766729 35.6805359, 139.7670148 35.6813107, 139.7671141 35.6815732, 139.767205 35.6818326, 139.7672589 35.6819987, 139.7674044 35.682512, 139.767481 35.6827833, 139.7674747 35.6827916, 139.7674286 35.6828002, 139.7673052 35.6824603))",POINT (139.7669237 35.6812691),3551.2,38225.2
,16,182169978,,roof,,,,"POLYGON ((139.7662432 35.6802246, 139.7662697 35.6803064, 139.7663402 35.6804993, 139.7669024 35.6819782, 139.7669636 35.6821159, 139.7670464 35.6823003, 139.7671552 35.6822724, 139.7670854 35.6820863, 139.7664682 35.6804688, 139.7663895 35.6802785, 139.7663596 35.6801985, 139.7661726 35.6797841, 139.7661449 35.6797916, 139.7662432 35.6802246))",POINT (139.7666493 35.6811239),3210.2,34554.1
,17,182169981,,roof,,,,"POLYGON ((139.7665668 35.67993, 139.7666884 35.6799026, 139.7668061 35.6801822, 139.7673839 35.6817827, 139.7675129 35.6822229, 139.767553 35.6824526, 139.7676104 35.6827556, 139.7675629 35.6827639, 139.7674833 35.6824621, 139.7674146 35.6822446, 139.7672762 35.6818113, 139.767183 35.6815507, 139.7670916 35.6812902, 139.7667853 35.6805171, 139.7666665 35.6802098, 139.7665668 35.67993))",POINT (139.7670927 35.6811767),3320.0,35735.7
,18,182169983,,roof,,,,"POLYGON ((139.7666502 35.6794959, 139.7668443 35.6800183, 139.7674829 35.6817604, 139.767595 35.6822031, 139.7676763 35.6825948, 139.7677751 35.6830724, 139.7678537 35.683054, 139.7678062 35.6825752, 139.7677489 35.6821741, 139.767629 35.6817171, 139.7669786 35.679986, 139.7667716 35.6794615, 139.7666502 35.6794959))",POINT (139.7673349 35.6812268),5241.7,56421.3
,19,211240833,,,,,platform,"POLYGON ((139.7657811 35.6789517, 139.7656695 35.6786513, 139.7656521 35.6785859, 139.7656494 35.6785674, 139.7657811 35.6789517))",POINT (139.7656982 35.6787184),17.4,187.5
東京駅八重洲南口,20,257357827,,,bus_station,,,"POLYGON ((139.7680876 35.6794303, 139.768336 35.6798233, 139.7683616 35.6798126, 139.7681132 35.6794196, 139.7680876 35.6794303))",POINT (139.7682246 35.6796215),127.6,1374.0
,21,266138210,,roof,,,,"POLYGON ((139.7668604 35.6794813, 139.7670536 35.6799669, 139.7677027 35.6816918, 139.7678155 35.6821564, 139.7678777 35.6825668, 139.7679229 35.6830122, 139.7680038 35.6830007, 139.7679406 35.6821365, 139.7678929 35.6818777, 139.7678439 35.681658, 139.7677798 35.6814395, 139.7673591 35.680302, 139.7672039 35.6799343, 139.7669318 35.6794604, 139.7668604 35.6794813))",POINT (139.7675319 35.6811163),5116.0,55068.2
,22,287835293,,office,,,,"POLYGON ((139.7661635 35.6838788, 139.7664806 35.6838066, 139.7666596 35.6843356, 139.7663466 35.68441, 139.7661635 35.6838788))",POINT (139.7664123 35.6841073),1809.2,19474.2
,23,313930291,,roof,,,,"POLYGON ((139.7661676 35.6802592, 139.7662346 35.6804337, 139.7663684 35.6807905, 139.7666969 35.6816412, 139.7668255 35.6819867, 139.7669133 35.6822027, 139.766984 35.6823773, 139.7669266 35.682397, 139.766816 35.6821965, 139.766727 35.6820066, 139.766642 35.6818331, 139.7665168 35.6815042, 139.7662665 35.6808401, 139.7661817 35.680619, 139.7660938 35.6802779, 139.7661676 35.6802592))",POINT (139.7665114 35.6813112),2423.0,26080.6
JR 東北新幹線,24,349685445,,,,,platform,"POLYGON ((139.7686955 35.6828482, 139.7686442 35.6828614, 139.7677105 35.6803888, 139.7675424 35.6799605, 139.7674517 35.6797507, 139.7672507 35.6793893, 139.7671274 35.6791783, 139.7671477 35.6791695, 139.7686955 35.6828482))",POINT (139.7668243 35.6782493),395.7,4259.7
JR 東北新幹線,25,349685446,,,,,platform,"POLYGON ((139.7688982 35.6827977, 139.7689466 35.6827835, 139.7680201 35.6803189, 139.7679335 35.6801048, 139.7678377 35.679892, 139.7677288 35.6796798, 139.7674857 35.6793187, 139.7673352 35.6791151, 139.767306 35.6791303, 139.7688982 35.6827977))",POINT (139.7680856 35.6807493),5049.4,54351.0
